464194	No passa una setmana que no li escrigui a la seva mare.	303863	He never fails to write to his mother every week.
465489	Bon dia!	329713	Good morning!
465489	Bon dia!	855284	Good day!
465490	Moltes gràcies.	1564	Thank you very much!
465491	No, gràcies.	31390	No, thank you.
465494	No l'entenc.	252832	I do not understand you.
465509	Quina hora és?	428402	What time is it?
465514	Bona nit.	426950	Good night!
465514	Bona nit.	1068125	Goodnight!
465517	Bon viatge.	21287	Enjoy your trip.
465524	Adéu, Sayoko.	54013	Goodbye, Sayoko.
465529	Com estàs?	373320	How are you?
465531	Com està?	373320	How are you?
465535	Fins ara!	32672	See you soon!
465536	Fins demà.	497969	See you tomorrow.
465536	Fins demà.	2494139	Until tomorrow.
465539	Hola, Tom!	54604	Hello, Tom.
465540	Hola, com va?	138868	Hello, how are you?
465542	Hola.	373330	Hello!
466595	Enhorabona!	1437	Congratulations!
466794	Bona sort.	239431	Good luck.
467308	Estic tip que em sermonegi constantment.	403325	I'm fed up with him always preaching to me.
467309	Estic tip dels seus sermons constants.	403325	I'm fed up with him always preaching to me.
467310	Això és bufar i fer ampolles.	21259	It's a piece of cake.
467312	Li vas dir que havies enllestit la feina feia tres dies.	14530	You told her that you had finished the work three days before.
467313	Està amoïnada perquè fa mesos que no té notícia del seu fill.	388297	She's worried since she hasn't heard from her son for many months.
467314	He fet un vestit nou per a mon fill.	259221	I made my son a new suit.
467318	Estudio el teatre dels EUA.	253012	I'm studying the American drama.
467321	Em sap greu, però no trobo el llibre que em vas deixar.	269544	I'm sorry, but I can't find the book you lent me.
467335	Compra el que vol sense fixar-se en el que val.	313299	She buys what she wants regardless of the cost.
467340	Sempre es poden dir coses dels errors, però se'n digui el que se'n digui, el més important que se'n pot dir és que són erronis.	410287	There is something to be said for every error; but, whatever may be said for it, the most important thing to be said about it is that it is erroneous.
467352	Fins a un cert punt, el rumor és cert.	50646	The rumor is true to some extent.
467355	Aquesta torre ofereix una vista de tota la ciutat.	57654	This tower commands a full view of the city.
467368	Parles àrab?	434624	Do you speak Arabic?
467377	Estarà enllestida la feina per a demà?	47616	Will the work be finished by tomorrow?
467387	Ningú no li fa ombra.	325908	Nobody equals him in strength.
467388	Ningú no li és rival.	325908	Nobody equals him in strength.
467391	Encercleu la resposta correcta, sisplau.	271591	Please circle the right answer.
467392	Virtut i vici.	318184	Virtue and vice.
467400	A tothom li fa cosa la novetat.	276644	Everyone is afraid of doing new things.
467403	Van passar al tema a l'instant.	305676	They fell into the conversation immediately.
467406	Va lluitar contra la discriminació racial.	300140	He fought against racial discrimination.
467411	El paràgraf no admet cap altra lectura.	57221	The passage admits of no other interpretation.
467411	El paràgraf no admet cap altra lectura.	494738	There is no other way to understand the sentence.
467415	El meu amic ha treballat a tres llocs diferents en un any; res no li dura gaire.	252018	My friend has had three jobs in a year; he never sticks to anything for long.
467416	No l'he vist des d'aleshores.	254441	I have not seen him since then.
467420	Compara aquesta joia autèntica amb aquella imitació.	56796	Compare this genuine jewel with that imitation.
467430	Escriu-me de tant en tant, sí?	38268	Please write to me from time to time.
467432	Sabó, sisplau.	494746	Soap, please.
467448	El diccionari recull vora mig milió de paraules.	1011289	The dictionary gathers nearly half a million words.
467462	Aquí fa fresca i s'hi està bé.	61608	It is nice and cool here.
467474	Vaig cometre una negligència.	65491	I made a careless mistake.
467488	Calla i escolta!	323684	Shut up and listen!
